Name,vsini,radius_val,radius_percentile_lower,radius_percentile_upper
HD 32274,3,1.2737118,1.2142453,1.3191043
HD 32287,45,3.0872457,2.9666579,3.201083
HD 32292,9,2.0637035,2.0051885,2.153243
HD 32326,4,1.1677426,1.1363237,1.2179108
HD 32488,11,2.3488095,2.242822,2.4633083
HD 32508,1,1.6267143,1.5421114,1.6617321
HD 32590,60,1.3041463,1.2696272,1.3298209
HD 32715,50,1.4644998,1.4184558,1.5042046
HD 32820,8,1.3734052,1.3291416,1.4162422
HD 32913,24,2.4096203,2.2619545,2.477816
HD 32994,6,2.1662443,2.117741,2.2637558
HD 33008,40,2.8404188,2.6862338,2.9737754
HD 33081,8,1.5653458,1.5321126,1.5917996
HD 33098,120,3.1518714,2.9583097,3.2818613
HD 33202,7,2.0335417,1.9863213,2.0928562
HD 33208,12,2.5722075,2.526432,2.6065404
HD 33245,40,2.246552,2.1499784,2.345181
HD 33252,7,1.2322348,1.222375,1.2517922
HD 33313,4,1.1374384,1.091106,1.1689034
HD 33476,5,1.3416198,1.3267787,1.3577678
HD 33485,6,1.2637128,1.2394218,1.2893418
HD 33503,16,1.630968,1.5996058,1.6980771
HD 33514,11,1.7010918,1.6552429,1.7315931
HD 33649,16,1.4394857,1.4047704,1.5083493
HD 33673,29,1.6797222,1.1996586,1.9185734
HD 33693,12,1.9454066,1.8831463,2.0640383
HD 33924,60,1.5128796,1.48315,1.59311
HD 34012,13,5.6621413,5.46176,5.7609587
HD 34135,8,2.6531277,2.5883074,2.8473032
HD 34415,40,1.7427849,1.6028872,1.8435526
HD 34554,6,1.3168846,1.2814333,1.3500966
HD 34570,4,1.3437936,1.2690085,1.3798304
HD 34634,2,1.2978045,1.274113,1.3419563
HD 34652,26,1.315352,1.2712158,1.3567249
HD 34704,8,1.6072464,1.5263938,1.7423981
HD 34745,5,1.2076252,1.189043,1.2247642
HD 34781,7,2.0360444,1.9161037,2.1681495
HD 34894,15,1.7490617,1.6526501,1.8302506
HD 34905,5,2.31344,2.1803617,2.4113715
HD 34907,50,2.3152268,2.20594,2.4042864
HD 35147,5,1.0437036,1.0179319,1.0634214
HD 35216,6,2.2337904,2.190642,2.3034334
HD 35241,5,2.2254336,2.1256156,2.324382
HD 35270,13,2.603462,2.5889215,2.639856
HD 35421,30,1.2880045,1.0803149,1.3516558
HD 35627,7,1.4387988,1.4200188,1.4518307
HD 35638,8,1.3518847,1.3018951,1.4108115
HD 35643,55,2.188689,2.1197658,2.299645
HD 35660,7,1.5443571,1.5035441,1.6115863
HD 35689,17,1.3357129,1.2795084,1.3901767
HD 35783,8,1.4990261,1.4541804,1.5546892
HD 35863,14,1.822415,1.7339001,1.9126921
HD 35864,50,1.8418083,1.7914307,1.959166
HD 35887,8,1.4990909,1.4740869,1.5602846
HD 36008,7,1.2712739,1.2428635,1.2977266
HD 36051,5,1.0157408,1.0029421,1.0401943
HD 36108,3,1.2908033,1.269,1.3273857
HD 36300,10,1.3456552,1.3113207,1.3918974
HD 36407,22,2.9414506,2.7988858,3.0598798
HD 36522,9,2.2801194,2.1939924,2.439006
HD 36548,4,1.1944504,1.1677712,1.2140988
HD 36643,9,2.2174926,2.094721,2.367167
HD 36667,3,1.8168533,1.7615916,1.8497764
HD 36724,6,2.3446157,2.261041,2.44631
HD 36756,14,1.9383874,1.9141136,1.9863584
HD 36767,4,1.082273,1.0713139,1.1089965
HD 37003,20,1.2264751,1.0072923,1.2630755
HD 37030,13,1.2136929,1.1773797,1.2587569
HD 37053,28,3.0147605,2.9280093,3.100704
HD 37097,4,1.6372318,1.5569842,1.7077243
HD 37254,4,2.1223352,2.0275128,2.2916489
HD 37282,7,1.2975626,1.1943325,1.3910812
HD 37395,70,1.8782424,1.8107988,1.9291258
HD 37420,19,2.728402,2.6546392,2.8983965
HD 37423,7,1.9015554,1.4252981,2.0832968
HD 37516,35,2.07474,2.0065389,2.2213652
HD 37574,10,2.267816,2.2075264,2.3434439
HD 37588,9,1.5091102,1.4823375,1.5573844
HD 37610,12,2.5508003,2.499475,2.567337
HD 37613,13,1.8812013,1.8093376,1.9035738
HD 37648,40,1.2991992,1.2732794,1.3576794
HD 37689,60,2.3087113,2.1426234,2.561413
HD 37705,8,1.4845973,1.3848717,1.5334772
HD 37879,9,1.5151932,1.4794343,1.5732621
HD 37990,4,1.1320671,1.1242956,1.1485424
HD 38141,14,1.7186072,1.6513555,1.7975008
HD 38278,18,3.0852385,3.0407963,3.2122257
HD 38283,4,1.4599626,1.4258293,1.4928386
HD 38294,4,1.4178237,1.3499826,1.495407
HD 38374,13,1.6427257,1.5713214,1.6899691
HD 38396,24,2.4209962,2.329221,2.4803207
HD 38677,3,1.298604,1.2580894,1.3827591
HD 38722,7,2.4943814,2.4691572,2.5156066
HD 38772,4,1.3687624,1.3318809,1.39475
HD 38779,70,2.1228075,2.0264118,2.2051637
HD 38827,7,1.7003809,1.6558181,1.7585895
HD 38940,11,2.2907524,2.2112553,2.3272314
HD 39076,2,2.7403245,2.6969633,2.8050804
HD 39192,4,1.417621,1.3898504,1.443224
HD 39197,9,1.3357021,1.2877764,1.3633602
HD 39513,15,1.7543633,1.6827816,1.8266588
HD 39888,35,1.549538,1.5264826,1.5987847
HD 39932,26,3.5893242,3.4971066,3.6942616
HD 39981,8,2.2181687,2.0838475,2.2727497
HD 39987,15,2.094426,2.0339458,2.196117
HD 40001,9,1.6372116,1.6148823,1.6591043
HD 40125,9,1.7124878,1.6030492,1.762841
HD 40126,9,1.5971478,1.565686,1.6293886
HD 40170,2,1.9398327,1.910143,1.985604
HD 40184,13,2.6059127,2.5473223,2.629363
HD 40300,15,1.8126688,1.6825615,1.8410649
HD 40379,35,3.1851814,3.1279476,3.265543
HD 40483,7,1.988695,1.9570032,2.0015876
HD 40488,24,2.4385805,2.4114444,2.460145
HD 40507,3,1.516266,1.4928567,1.5310725
HD 40530,30,1.9129499,1.8298695,1.9636248
HD 40567,11,1.9026951,1.8563367,1.9988312
HD 40590,8,1.6801852,1.6471046,1.7256814
HD 40673,9,2.6575317,2.4754496,2.8220215
HD 40832,19,1.968907,1.9401554,2.0037317
HD 40852,7,1.7846481,1.7210097,1.8630332
HD 40858,6,2.1441526,2.0839033,2.1941187
HD 40930,9,1.9104834,1.8086557,2.0189795
HD 40979,7,1.263022,1.2294794,1.293636
HD 41062,6,1.891402,1.8049157,2.0046673
HD 41149,18,1.630662,1.5491173,1.7234447
HD 41158,13,2.2249467,2.2005847,2.260078
HD 41278,50,1.3632123,1.3281884,1.4064245
HD 41304,6,1.4004323,1.3451197,1.4335635
HD 41311,20,2.5119786,2.4552543,2.7147741
HD 41476,6,1.3251985,1.2773408,1.3658648
HD 41576,14,2.8223345,2.467663,3.0573318
HD 41712,26,2.3435826,2.2167494,2.4002838
HD 41779,35,3.1351943,3.0369911,3.345371
HD 41804,14,1.4231869,1.3694426,1.4659525
HD 41981,5,2.1263769,2.0172024,2.217181
HD 41988,45,3.1552389,3.0214722,3.29335
HD 42065,6,2.0795896,2.0239384,2.1540382
HD 42067,2,2.6856327,2.5767524,2.8290331
HD 42190,14,1.433639,1.4146023,1.47027
HD 42278,22,2.45074,2.366738,2.5887268
HD 42390,14,1.8315386,1.7286912,1.9125773
HD 42538,7,1.920065,1.8658063,1.9558976
HD 42548,12,1.618998,1.5036103,1.6767755
HD 42625,10,1.7352669,1.7151676,1.7771931
HD 42820,3,1.3113803,1.2951951,1.3390375
HD 42853,20,2.3457966,2.2495856,2.5271351
HD 42958,8,2.0416694,1.9889454,2.0900977
HD 42963,17,2.427072,2.271192,2.4943686
HD 43144,9,1.7068919,1.6431338,1.7909774
HD 43167,4,1.6999761,1.6083528,1.7648491
HD 43382,8,1.6227126,1.5258708,1.6800313
HD 43452,40,2.619451,2.5659897,2.723229
HD 43470,5,1.5427889,1.5200567,1.5668057
HD 43621,70,2.2218168,2.1179764,2.363238
HD 43641,9,2.20218,2.147262,2.3026338
HD 43701,7,1.583627,1.52919,1.6261294
HD 43806,16,1.4080662,1.2996644,1.5136652
HD 43921,17,3.0774248,3.0333035,3.2824478
HD 43926,2,1.7367443,1.5308394,1.9492494
HD 43947,3,1.0989196,1.0744706,1.1187172
HD 44016,4,1.5584698,1.514833,1.6543661
HD 44268,23,2.4892788,2.3437932,2.6132076
HD 44297,8,2.0029347,1.9434981,2.058161
HD 44300,80,1.9577739,1.8273954,2.0155094
HD 44590,6,1.2916214,1.2517353,1.3291459
HD 44623,50,3.6869745,3.549689,3.8502123
HD 44663,4,1.3239658,1.3076769,1.3486155
HD 44836,7,3.057082,3.0165172,3.1109235
HD 44898,5,1.5327889,1.500722,1.6040707
HD 44985,2,1.1077231,1.092477,1.1285529
HD 45004,9,2.0799234,2.041708,2.0911877
HD 45504,8,1.8174309,1.7688047,1.874662
HD 45595,6,1.724282,1.6377935,1.7806085
HD 45654,7,2.438824,2.3718536,2.8842444
HD 45738,25,1.9259334,1.8499557,2.034587
HD 45743,5,2.3294702,2.2823584,2.3747785
HD 45753,14,1.7669357,1.700731,1.8085762
HD 45759,14,1.1978054,1.1724517,1.216862
HD 45767,4,1.411457,1.3654442,1.5609475
HD 45895,10,3.6066456,3.5189025,3.710055
HD 46214,5,2.4065013,2.3595061,2.4490519
HD 46317,4,1.2864298,1.2731063,1.3214163
HD 46335,22,1.3605257,1.2876303,1.4684873
HD 46601,100,3.7590666,3.6236525,3.9587846
HD 46688,35,2.4681387,2.3036664,2.6164944
HD 46719,10,2.1412952,2.0921252,2.1814284
HD 46828,5,1.8673935,1.8054713,1.9478912
HD 46836,4,1.8458507,1.8150626,1.9027938
HD 46872,27,1.7607731,1.7161984,1.7779373
HD 46918,6,1.1641862,1.1327256,1.199713
HD 47232,9,2.384662,2.3609917,2.4269757
HD 47381,8,1.9856092,1.9452965,2.0755024
HD 47522,7,1.6006975,1.5798116,1.6437855
HD 47619,8,2.1832495,2.1199217,2.216611
HD 47699,9,2.1226563,1.9634415,2.1870682
HD 47748,11,1.5615138,1.5057744,1.601147
HD 47855,7,1.6915532,1.6495781,1.7579755
HD 47962,11,2.670301,2.5184002,2.7688148
HD 48286,3,1.0324879,1.0057446,1.0505041
HD 48332,45,2.7751665,2.6752498,2.8923016
HD 48389,8,1.6186337,1.5891978,1.6704267
HD 48391,9,1.1791466,1.1584256,1.20069
HD 48506,24,2.4052365,2.3469152,2.4868557
HD 48527,9,1.9115603,1.8245276,2.008651
HD 48568,50,2.3055334,2.262607,2.3872623
HD 48647,15,2.2903392,2.2187934,2.432032
HD 48858,17,2.2514224,2.1711674,2.3119185
HD 49011,7,2.1603904,2.1244168,2.202178
HD 49042,10,2.475165,2.437094,2.5856247
HD 49083,30,1.4330873,1.3896819,1.4676934
HD 49197,23,1.1359316,1.0996109,1.1512145
HD 49301,7,4.1140924,4.0318933,4.209653
HD 49525,1,1.6950488,1.6466923,1.7317289
HD 49565,8,2.527659,2.433637,2.6929843
HD 49700,10,1.3336918,1.2688314,1.4284216
HD 49732,7,1.225278,1.120872,1.312075
HD 49736,4,1.1818994,1.16782,1.2024877
HD 49801,28,1.3809413,1.3170023,1.4160682
HD 50060,2,2.3238854,2.2894948,2.3723764
HD 50078,6,2.0812922,2.0548356,2.1207275
HD 50099,55,2.3540435,2.2090023,2.5246677
HD 50313,9,1.6138332,1.5617769,1.715585
HD 50476,4,2.0754151,2.0221927,2.1912274
HD 50554,4,1.11305,1.1007389,1.1433574
HD 50639,5,1.2452072,1.2284832,1.2716365
HD 50688,12,1.6578467,1.6340498,1.6825355
HD 50867,8,1.2332077,1.211189,1.2582645
HD 50959,17,2.8250892,2.7753358,2.887914
HD 51370,12,1.0943475,1.0868157,1.1083906
HD 51434,10,1.343567,1.323989,1.3736914
HD 51471,5,1.9064428,1.8724442,1.923945
HD 51485,50,2.3892121,2.2926471,2.5530124
HD 51930,3,1.34456,1.2299267,1.4203142
HD 52298,5,1.158042,1.1338531,1.2006042
HD 52299,3,2.2841477,2.2437565,2.3674963
HD 52395,4,1.1294482,1.0879639,1.1628549
HD 52449,4,1.2469556,1.2355545,1.2650968
HD 52496,28,2.9269304,2.756955,3.0287044
HD 52516,7,1.402329,1.3394798,1.4560083
HD 52552,5,2.1493983,2.1111014,2.19204
HD 52651,30,2.7671087,2.6228383,2.8139343
HD 53133,4,3.7055573,3.6072907,3.831914
HD 53279,11,3.3533845,3.250003,3.4039567
HD 53411,10,2.9417756,2.8875475,3.0161471
HD 53440,12,2.5847976,2.520511,2.6459842
HD 53466,13,1.7726709,1.7188735,1.8013995
HD 53545,9,1.3035676,1.2395641,1.3407624
HD 53566,6,1.525866,1.4744704,1.5667925
HD 53658,11,1.4091356,1.3750854,1.454067
HD 53665,9,1.8253886,1.7952365,1.8720914
HD 53698,8,2.2765036,2.245345,2.3404336
HD 53842,50,1.3455939,1.3177943,1.363907
HD 54182,3,2.4785767,2.4133918,2.522071
HD 54405,5,1.086847,1.0573047,1.1138107
HD 54616,6,1.3648567,1.2968141,1.394872
HD 54691,22,2.0744908,2.0078707,2.131527
HD 54717,6,1.2034827,1.1772441,1.2193922
HD 54777,29,2.7504337,2.5949166,2.8955522
HD 55054,9,1.516293,1.2387254,1.6089561
HD 55403,29,2.778649,2.276139,2.851872
HD 55674,40,3.2866743,3.2036414,3.3561745
HD 56325,20,1.4395603,1.4169966,1.5182842
HD 56329,28,3.3187172,3.2237785,3.4236586
HD 56354,5,1.9613162,1.7024015,2.0384698
HD 56737,6,1.5621411,1.5393817,1.6063904
HD 57262,11,1.542371,1.4360629,1.6168859
HD 57334,5,1.2649927,1.2313561,1.3012772
HD 57589,8,1.3710217,1.3340603,1.3992182
HD 57844,7,1.8324492,1.7949612,1.895336
HD 58015,12,3.0969975,2.9978065,3.1484492
HD 58183,15,1.6211817,1.5891739,1.661727
HD 58192,5,1.1799028,1.1284089,1.2286431
HD 58549,4,1.1603835,1.1474268,1.1912423
HD 58551,6,1.1987396,1.1711936,1.2109182
HD 58618,30,1.4565066,1.4267706,1.4858022
HD 58800,11,1.8257495,1.7716247,1.8673624
HD 58805,10,1.3902513,1.3701814,1.4105918
HD 58943,5,1.2193459,1.2018895,1.2375864
HD 59090,15,1.7625383,1.7014424,1.8381344
HD 59128,35,3.000995,2.9382768,3.145216
HD 59305,17,1.4178988,1.379875,1.4703642
HD 59331,35,1.4072701,1.3914185,1.4442787
HD 59374,4,1.01036,0.9781111,1.0514573
HD 59377,40,2.7117934,2.5378568,2.7794087
HD 59641,6,2.0305328,1.9144707,2.0818315
HD 59750,6,1.9298508,1.894609,1.9624162
HD 59762,9,2.2770247,2.2129397,2.329319
HD 59842,8,1.621827,1.5987034,1.6577706
HD 59923,8,2.009107,1.944257,2.1634324
HD 59980,8,2.3653417,2.2853172,2.4457185
HD 60290,20,2.3900633,2.343002,2.4395075
HD 60319,5,1.2923906,1.1704372,1.3302526
HD 60353,10,1.8187156,1.7916926,1.8547969
HD 60406,13,1.4599046,1.4110466,1.5378089
HD 60614,40,1.5989095,1.531357,1.6583476
HD 60618,12,1.9381446,1.8761714,1.9753633
HD 60674,30,2.1078777,2.0552604,2.1726205
HD 60846,4,1.7155665,1.6762204,1.733894
HD 60912,10,1.3296503,1.3053539,1.4096168
HD 61295,35,3.980786,3.951898,4.1431904
HD 61430,13,1.6224122,1.5559796,1.6613611
HD 61518,27,1.2255093,1.2105677,1.2418132
HD 61602,6,3.1855395,2.899161,3.4316504
HD 61883,21,2.4383397,2.3536577,2.584513
HD 61902,5,1.454724,1.4089775,1.46903
HD 62094,19,1.4600065,1.3957819,1.5119205
HD 62279,13,1.4458898,1.4067603,1.4901646
HD 62296,13,1.7563034,1.6753595,1.8137885
HD 62301,3,1.3510606,1.306233,1.3889931
HD 62364,4,1.4647561,1.448365,1.4835664
HD 62728,50,2.657615,2.5375886,2.7734363
HD 62816,11,1.3049481,1.2655754,1.3476299
HD 62854,12,1.4208312,1.3578694,1.457603
HD 62946,4,2.0507977,1.9379375,2.2208867
HD 63045,9,2.0390656,1.9964266,2.0878022
HD 63086,6,1.354615,1.3127166,1.4056216
HD 63123,19,2.5958962,2.5349817,2.6617446
HD 63333,4,1.2311264,1.195217,1.2585942
HD 63646,3,1.2537558,1.1334895,1.3403395
HD 63653,35,4.018465,3.7995822,4.241799
HD 63675,45,2.1799855,2.0922577,2.4506025
HD 63738,6,1.2365984,1.2088017,1.269615
HD 63748,8,2.6043563,2.5314724,2.6478815
HD 63835,7,1.1645291,1.1512619,1.2237581
HD 64021,70,2.4476955,2.2957413,2.6593974
HD 64122,9,1.2787662,1.2613053,1.3115706
HD 64142,11,1.8989472,1.8642579,1.9357749
HD 64250,22,1.7131587,1.6818546,1.824272
HD 64389,5,1.8247166,1.7908831,1.8535986
HD 64467,10,1.5685152,1.5001714,1.6245757
HD 64913,5,1.0409101,1.0301784,1.0532347
HD 65134,10,1.4749824,1.4172469,1.532764
HD 65524,10,2.047378,1.9446625,2.1002278
HD 65664,12,2.1317952,2.1120138,2.1609406
HD 65951,50,5.3064785,5.1093235,5.5357475
HD 66015,8,1.8714823,1.7152734,1.9362406
HD 66168,6,1.0810621,1.0614609,1.1084023
HD 66242,7,5.408078,5.2971644,5.4993362
HD 66771,11,2.0149114,1.9462702,2.1411355
HD 66922,3,1.4262092,1.3904032,1.4494241
HD 67009,26,1.6749419,1.5990063,1.7480474
HD 67087,12,1.4239542,1.3882657,1.4410081
HD 67146,45,2.3518689,2.197084,2.5006838
HD 67150,6,2.5204475,2.421205,2.6211538
HD 67200,4,1.2907145,1.230291,1.3312111
HD 67346,6,1.9393201,1.913108,1.9779303
HD 67369,7,1.3244635,1.231812,1.4287933
HD 67481,5,2.2052226,2.1813612,2.2539473
HD 67517,4,2.213868,2.1097047,2.28683
HD 67556,9,1.3296018,1.3178661,1.3482118
HD 67585,8,1.5351574,1.4453393,1.5840489
HD 67707,8,1.4920895,1.4671723,1.5484849
HD 67789,5,1.2750206,1.2550021,1.3279978
HD 67816,3,1.1688617,1.1510798,1.1945366
HD 67893,19,4.2594395,4.192548,4.3867292
HD 67935,8,1.960697,1.9023896,2.0327506
HD 68284,5,2.1169899,2.0713725,2.1500332
HD 68287,7,1.2210671,1.191072,1.273111
HD 68391,40,3.001521,2.8495955,3.1111352
HD 68481,7,1.8593585,1.5875324,2.0049891
HD 68676,12,3.4213722,3.379169,3.4857764
HD 69333,10,2.6319237,2.5382988,2.755522
HD 69713,19,1.3130977,1.2582071,1.3673402
HD 69752,55,2.323109,2.274023,2.362093
HD 69892,35,3.1617146,3.0838788,3.2415056
HD 70038,3,1.3406024,1.2896861,1.3766006
HD 70298,11,1.726584,1.7016479,1.7789502
HD 70312,7,1.6968083,1.639873,1.7657913
HD 70499,110,2.6925788,2.5514522,2.8038018
HD 70534,13,1.5678195,1.5157373,1.6254239
HD 70588,16,2.1394093,2.029992,2.211332
HD 70626,10,1.3507978,1.2743791,1.409055
HD 70843,6,1.4331013,1.420613,1.4463748
HD 70862,5,2.0732815,2.0214252,2.1301801
HD 70870,9,1.4684964,1.4057261,1.517085
HD 70889,4,1.115315,1.0996687,1.1334863
HD 70896,6,1.3220036,1.3146603,1.3421849
HD 70954,11,1.6425426,1.5837736,1.7379123
HD 71053,6,1.5673978,1.4784174,1.670507
HD 71142,9,2.5424595,2.4444845,2.6112711
HD 71222,7,2.6074655,2.575253,2.6798992
HD 71252,110,3.6392365,3.577104,3.6818047
HD 71277,30,1.848443,1.7525113,2.0685296
HD 71399,25,1.5698533,1.5357686,1.6253024
HD 71640,3,1.3687905,1.3109068,1.4392967
HD 71713,27,3.0722718,2.8678305,3.1570613
HD 71755,4,1.2448045,1.2070807,1.2803975
HD 72172,40,2.8565483,2.525015,3.0164835
HD 72266,5,1.7103465,1.5716296,1.8318264
HD 72528,7,1.3814148,1.3522635,1.3971056
HD 72780,7,1.2967172,1.2644917,1.326742
HD 72854,100,1.9384823,1.6943768,2.1861942
HD 73121,4,1.56634,1.5541195,1.5871481
HD 73145,35,2.1303318,2.0325992,2.2011561
HD 73217,21,1.3046242,1.2781364,1.4145108
HD 73344,5,1.2073934,1.1913486,1.2306505
HD 73400,8,1.5013429,1.4750582,1.516939
HD 73465,35,1.4478886,1.3956333,1.5119029
HD 73504,50,2.716274,2.6690974,2.7931566
HD 73736,24,3.5672002,3.411252,3.7030458
HD 73835,2,1.0986491,1.0846102,1.1221049
HD 74011,4,1.4574207,1.4223996,1.4914002
HD 74360,9,1.812825,1.7124711,1.861714
HD 74361,16,1.4878944,1.3174461,1.6092678
HD 74546,10,1.5998,1.5218569,1.7003714
HD 74704,15,1.3265573,1.2950971,1.3691347
HD 74868,8,1.4522806,1.4035538,1.494404
HD 74894,5,1.8731867,1.8134737,1.9468864
HD 75289,4,1.2800608,1.2491899,1.2952869
HD 75320,13,2.228374,2.0616405,2.3398182
HD 75328,4,1.1450622,1.1292218,1.1926465
HD 75370,18,3.084279,2.99679,3.2043426
HD 75487,21,2.2210453,2.150298,2.3724334
HD 75596,6,1.1713895,1.124048,1.2282431
HD 75615,5,2.5560362,2.5045788,2.5991354
HD 75616,11,1.165675,1.1198295,1.225753
HD 75719,18,1.1854998,1.1108661,1.2721795
HD 75775,12,3.1430268,3.0571399,3.236485
HD 75786,20,1.5606236,1.5177511,1.5983416
HD 75881,6,1.8857762,1.861073,1.9223362
HD 75908,7,2.0370433,1.9933124,2.113257
HD 76102,11,1.5631068,1.5031128,1.6056457
HD 76116,8,1.538979,1.4791312,1.5924538
HD 76188,5,1.7939392,1.7643563,1.8081008
HD 76272,3,1.3605464,1.3259389,1.4024805
HD 76300,4,2.1959836,2.165066,2.2246714
HD 76318,35,1.9397619,1.8537637,2.0704079
HD 76333,12,2.08535,1.9894031,2.2019043
HD 76350,12,2.0196416,1.9408907,2.111656
HD 76601,3,2.323402,2.2338386,2.4949756
HD 76735,55,1.8135767,1.7473525,1.9044883
HD 76766,9,1.385992,1.2999446,1.4980645
HD 76910,9,1.22716,1.1971571,1.2516303
HD 76913,27,1.5295374,1.4114435,1.755109
HD 77092,22,1.7568626,1.6752583,1.8694031
HD 77134,5,1.0675585,1.0521755,1.094272
HD 77165,50,3.5426383,3.4777565,3.6972992
HD 77408,7,1.4526194,1.4199378,1.5270125
HD 77556,19,1.675627,1.5888065,1.7220769
HD 77724,13,2.813833,2.7456536,3.0129008
HD 77832,25,1.498097,1.4447335,1.545261
HD 77836,8,3.0453002,2.9899194,3.1907265
HD 77967,7,1.5044173,1.4226251,1.5497262
HD 77999,25,1.6605692,1.509395,1.8694437
HD 78091,8,1.5994216,1.5118774,1.6504369
HD 78138,30,1.3022227,1.2443517,1.3452743
HD 78252,10,2.1806014,2.107331,2.2303715
HD 78255,35,2.130275,2.0852349,2.1707969
HD 78274,11,1.6117057,1.5511409,1.6539052
HD 78301,11,1.706796,1.582701,1.7613813
HD 78364,27,1.3347512,1.2659166,1.3635805
HD 78388,40,2.7231977,1.9488726,3.0691507
HD 78413,4,1.3921429,1.0875036,1.4650178
HD 78543,30,1.598046,1.4998397,1.6608473
HD 78737,5,1.4810685,1.4054838,1.5095757
HD 78777,14,2.2129219,2.1188936,2.304926
HD 78820,19,2.201521,2.0730667,2.264251
HD 78971,16,3.1653626,3.0896416,3.247851
HD 79337,20,1.9655685,1.9023538,2.0318215
HD 79392,24,1.5888062,1.4983965,1.660203
HD 79499,50,2.8485854,2.7186134,2.9831235
HD 79550,15,1.9800366,1.9359331,2.0617445
HD 79678,11,1.232099,1.1470208,1.2699665
HD 79743,11,2.8433983,2.7854996,2.9155858
HD 79915,13,1.5572269,1.515381,1.6281699
HD 79966,10,1.584226,1.4662291,1.6598853
HD 80042,7,1.2060974,1.1416252,1.2985183
HD 80263,29,1.4456917,1.3709991,1.4615828
HD 80509,5,1.3545913,1.0967227,1.4290437
HD 80654,16,1.503963,1.4893581,1.5326035
HD 80670,60,3.207918,3.159737,3.2721114
HD 80685,8,1.3496906,1.3026819,1.3936833
HD 80719,9,1.9771278,1.9430923,2.0266833
HD 80743,5,1.2580128,1.1954132,1.3222696
HD 80913,4,1.6519661,1.6039398,1.6850554
HD 81178,12,3.1506855,3.0039392,3.303263
HD 81246,3,1.4392759,1.3512003,1.5297687
HD 81302,4,2.493709,2.3762248,2.5693722
HD 81409,80,3.3323922,3.2751765,3.4399493
HD 81437,29,3.55523,3.5065696,3.65507
HD 81464,45,3.512565,3.4621236,3.5714087
HD 81548,12,1.8775055,1.8308905,1.9133666
HD 81764,6,2.0360024,1.7464372,2.095092
HD 81863,22,2.7734828,2.7248368,2.8527668
HD 81881,6,2.025679,1.957748,2.148228
HD 82089,13,1.7885064,1.6157347,1.9193865
HD 82140,1,1.0939914,1.0431099,1.1186523
HD 82164,6,1.5384277,1.4002018,1.5969207
HD 82563,22,2.4282255,2.227298,2.6170135
HD 82602,20,1.3886002,1.3182598,1.4407903
HD 82649,12,1.5877497,1.5595996,1.6376219
HD 82690,10,2.1191497,2.0818238,2.2396023
HD 82703,18,1.6191937,1.5375284,1.6755217
HD 82795,8,1.5164032,1.4982923,1.5766014
HD 82839,70,3.1818461,2.9256775,3.2998526
HD 82864,25,1.3735589,1.3320069,1.4037793
HD 82881,3,1.080515,1.0620961,1.1080413
HD 82895,11,1.3981756,1.3580263,1.4440641
HD 82943,3,1.1648402,1.1461854,1.1901621
HD 83064,7,2.6080773,2.5357938,2.7022862
HD 83108,12,2.2967067,2.209463,2.358837
HD 83170,20,1.6989561,1.6456043,1.7752877
HD 83186,6,1.5356805,1.5022179,1.5611228
HD 83201,40,3.5746539,3.1724777,3.6477225
HD 83342,8,1.5911891,1.5182594,1.6940297
HD 83396,10,1.4654124,1.4065887,1.5403142
HD 83423,5,1.0728844,1.0493076,1.085791
HD 83451,4,1.3650298,1.3318495,1.3811812
HD 83525,10,1.5156341,1.4902489,1.5436441
HD 83712,12,1.3708167,1.3192533,1.4027348
HD 83921,4,1.7791684,1.7348701,1.8772461
HD 84078,60,1.7470257,1.6312988,1.8043776
HD 84183,7,2.3994117,2.348722,2.4296527
HD 84432,10,1.8271967,1.7346442,1.8807825
HD 84486,12,1.7056247,1.6604373,1.7304198
HD 84515,6,1.5791422,1.5640552,1.6072466
HD 84558,35,1.5505229,1.4923193,1.5883231
HD 84580,26,1.9245708,1.8723606,2.0908406
HD 84616,3,1.1997527,1.184508,1.2246008
HD 84674,16,1.7709994,1.7272875,1.8178221
HD 84703,5,1.4483012,1.4196749,1.4919384
HD 84709,40,1.4007322,1.3215942,1.4363134
HD 84725,8,2.0382173,1.9951029,2.101438
HD 84742,3,1.0732241,1.0334285,1.1104552
HD 84749,4,1.1384481,1.1100879,1.1595154
HD 84850,9,3.4514496,3.3676922,3.6913426
HD 84869,4,1.8419868,1.7375449,1.9554604
HD 84963,4,2.5608346,2.4991574,2.6266751
HD 85030,100,4.5008907,4.2598977,4.7070923
HD 85076,35,2.191438,2.0920866,2.3041825
HD 85087,7,1.7236128,1.6573814,1.769311
HD 85198,10,1.3782265,1.0228986,1.4741573
HD 85278,9,1.3811058,1.3379041,1.4165947
HD 85362,3,1.2507545,1.2344902,1.2674725
HD 85398,26,1.7891932,1.6732934,1.915134
HD 85402,6,2.568284,2.5146468,2.6046798
HD 85411,5,1.8330908,1.8088728,1.895807
HD 85424,45,2.819859,2.7210827,2.947453
HD 85683,6,1.2120819,1.1799445,1.2448674
HD 85745,7,2.00137,1.9514124,2.0415695
HD 85833,8,2.5579622,2.5104418,2.6034286
HD 86090,11,2.3877873,2.2786472,2.4578626
HD 86147,23,1.5130857,1.4698832,1.571224
HD 86264,13,1.68947,1.6829445,1.7427787
HD 86414,21,1.3676002,1.2527081,1.4569865
HD 86560,4,1.322975,1.2924409,1.3710902
HD 86731,11,1.5859525,1.534166,1.6744516
