vsini_esphs,distance_msc,spectraltype_esphs
170.26546,137.77866,O
137.40697,131.49146,B
135.87799,106.82988,B
142.6218,124.44508,B
137.87372,95.55104,O
93.44045,48.44291,B
65.82181,140.71352,B
29.519337,122.11194,B
25.561766,138.50343,B
155.33023,142.29855,B
30.305754,143.42744,B
11.020587,145.75772,B
163.82144,82.89783,O
101.72441,145.64993,O
65.417885,79.13929,B
166.58853,54.903503,O
393.40765,113.45805,O
39.928192,147.3411,B
101.70903,138.08469,O
40.43851,138.603,B
94.5289,143.03293,A
114.52794,137.44382,B
186.66649,145.82626,O
4.9908085,130.69984,B
59.029057,130.0091,B
116.35565,139.12848,B
168.27682,142.1175,O
49.74735,119.54068,B
167.5367,136.82388,O
49.4025,103.115005,A
17.830256,86.74254,A
94.23285,102.65592,O
205.33662,140.58774,B
178.12492,107.59836,O
194.51117,82.00836,O
92.57547,125.612915,B
60.528465,106.15315,O
170.25328,107.7377,O
131.79889,121.240234,O
127.09894,102.80385,B
183.79944,116.1348,B
143.01126,92.87414,A
224.94875,65.246506,O
136.48962,147.08134,B
22.15914,141.69348,B
199.39465,137.85274,B
69.07306,109.24696,B
92.59408,84.288284,A
114.9082,127.5298,A
40.840866,133.06763,B
59.263943,146.60902,B
209.14514,139.72989,A
109.82454,134.34357,B
85.2797,133.03871,B
54.773407,97.2856,B
64.131874,132.00787,B
27.282255,140.54826,B
116.37415,121.163055,O
9.453459,142.24002,B
217.9649,99.93421,A
134.69197,106.769226,B
88.64335,139.92236,A
82.616974,129.68951,B
86.4992,139.52357,A
112.18474,44.604683,O
13.847467,142.98737,B
115.64367,116.48941,O
229.84993,134.16347,O
69.49019,106.03459,O
103.68204,51.033512,O
96.69711,145.28833,B
153.67625,128.718,O
172.39047,123.975784,O
113.13184,147.19504,B
271.17972,111.09758,A
56.098923,129.874,B
1.6392907,113.25978,B
241.1357,71.675644,O
133.46933,118.9695,O
2.735988,120.76839,B
1.482784,113.24773,B
73.69476,144.51111,B
36.099873,85.75673,B
143.33543,94.7413,O
207.40152,128.14029,A
