 #  |typed ident|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |   spec. type    |#bib|#not
1   |HD 23      |HD 23                              |PM*|00 05 07.4950976136 -52 09 06.260110200|     ~   |8.11     |7.52     |     ~   |     ~   |G0V              |  48|   0
1001|HD 25401   |HD 25401                           |PM*|04 01 20.9737971720 -26 31 00.528555972|     ~   |8.03     |7.52     |     ~   |     ~   |F7V              |  28|   0
1002|HD 25414   |HD 25414                           |PM*|04 02 17.1815942016 -01 37 57.747564912|     ~   |8.18     |7.71     |     ~   |     ~   |F5/6IV           |  30|   0
1003|HD 25454   |HD 25454                           |PM*|04 04 07.0542250512 +37 36 39.908153916|10.77    |9.07     |8.60     |     ~   |     ~   |G0               |  25|   0
1004|HD 25456   |HD 25456                           |*  |04 03 06.5745306720 +14 29 00.345668136|9.200    |9.070    |8.480    |     ~   |     ~   |F8               |  29|   0
1005|HD 25457   |HD 25457                           |TT*|04 02 36.7442719512 -00 16 08.119921152|     ~   |5.88     |5.38     |     ~   |     ~   |F7V              | 276|   0
1006|HD 25459   |HD 25459                           |*  |04 01 52.0707533184 -20 28 30.239391324|     ~   |8.35     |7.83     |     ~   |     ~   |F8V              |  25|   0
1007|HD 25463   |HD 25463                           |PM*|04 02 59.5066115256 +09 12 30.533808348|     ~   |     ~   |     ~   |6.6      |     ~   |F8               |  42|   0
1008|HD 25473   |HD 25473                           |PM*|04 09 22.3281104208 +73 34 13.478198844|     ~   |7.28     |6.75     |     ~   |     ~   |F5               |  36|   0
1009|HD 25495   |HD 25495                           |PM*|04 00 31.9889238672 -51 19 42.065953968|     ~   |9.71     |9.08     |     ~   |     ~   |G6V              |  30|   0
1010|HD 25522   |HD 25522                           |*  |04 02 30.6708118392 -19 29 53.971112436|     ~   |8.43     |7.90     |     ~   |     ~   |F7/8V            |  23|   0
1011|HD 25562   |HD 25562                           |PM*|04 02 45.3672039912 -20 43 25.915165716|     ~   |8.64     |8.19     |     ~   |     ~   |F5/6V            |  14|   0
1012|HD 25565   |HD 25565                           |PM*|04 02 06.1089097176 -36 37 00.942036600|     ~   |10.07    |9.18     |     ~   |     ~   |K0V              |  57|   0
1013|HD 25570   |HD 25570                           |PM*|04 03 56.6024860680 +08 11 50.158688748|     ~   |     ~   |     ~   |5.2      |     ~   |F2Vs             | 109|   0
1014|HD 25587   |HD 25587                           |PM*|04 02 42.7486742256 -27 29 00.770041428|     ~   |7.931    |7.392    |     ~   |     ~   |F7V              |  63|   0
1015|HD 25621   |HD 25621                           |PM*|04 04 09.8751899184 +02 49 37.019733024|     ~   |5.86     |     ~   |5.0      |     ~   |F6V              | 143|   0
1016|HD 25665   |HD 25665                           |PM*|04 09 35.0401013854 +69 32 29.011235568|     ~   |     ~   |     ~   |7.1      |     ~   |K2.5V            | 115|   0
1017|HD 25682   |HD 25682                           |PM*|04 04 30.6761616715 +00 14 44.064383414|     ~   |9.543    |9.233    |8.789    |     ~   |K0V              |  67|   0
1018|HD 25697   |HD 25697                           |Em*|04 04 32.1673731552 -03 20 22.489724688|     ~   |9.12     |8.68     |     ~   |     ~   |F0V              |  28|   0
1019|HD 25704   |HD 25704                           |** |04 01 44.6317980946 -57 12 24.598726799|     ~   |8.65     |8.10     |     ~   |     ~   |F7V              | 156|   0
1020|HD 25740   |HD 25740                           |PM*|04 02 58.4264915880 -44 23 31.821907272|     ~   |8.73     |8.12     |     ~   |     ~   |G3V              |  42|   0
1021|HD 25782   |HD 25782                           |PM*|04 05 04.9171135704 -04 47 08.200970736|     ~   |8.75     |8.26     |     ~   |     ~   |F5V              |  28|   0
1022|HD 25789   |HD 25789                           |PM*|04 05 16.0463845080 -00 34 08.653024776|     ~   |7.7      |7.0      |     ~   |     ~   |F3/5IV/V         |  24|   0
1023|HD 25825   |HD 25825                           |PM*|04 06 16.1277225936 +15 41 53.233746900|     ~   |8.416    |7.811    |7.484    |7.169    |G0V              | 204|   0
1024|HD 25890   |HD 25890                           |PM*|04 08 27.6396765792 +49 52 59.472825672|     ~   |8.64     |8.06     |     ~   |     ~   |F8               |  28|   0
1025|HD 25895   |HD 25895                           |*  |04 06 44.2741248792 +17 39 48.363095880|     ~   |8.95     |8.46     |     ~   |     ~   |G0               |  22|   0
1026|HD 25912   |HD 25912                           |PM*|04 03 37.9143998928 -51 55 51.020943420|     ~   |8.85     |8.19     |     ~   |     ~   |G3/5V            |  57|   0
1027|HD 25918   |HD 25918                           |PM*|04 08 14.2598338140 +44 39 46.217128083|     ~   |     ~   |     ~   |7.3      |     ~   |G5               |  50|   0
1028|HD 25933   |HD 25933                           |PM*|04 06 51.9016957320 +13 43 55.963399908|     ~   |9.64     |8.93     |     ~   |     ~   |G5               |  17|   0
1029|HD 25948   |HD 25948                           |PM*|04 09 22.2333136848 +54 49 43.912550280|6.670    |6.670    |6.260    |     ~   |     ~   |F5V              |  42|   0
1030|HD 25953   |HD 25953                           |PM*|04 06 41.5332077256 +01 41 02.078668860|     ~   |8.32     |7.82     |     ~   |     ~   |F6V              |  66|   1
1031|HD 25983   |HD 25983                           |*  |04 05 36.6574230600 -31 03 03.474495072|     ~   |7.48     |6.94     |     ~   |     ~   |F6V              |  31|   0
1032|HD 25998   |* 50 Per                           |RS*|04 08 36.6171573432 +38 02 23.058806100|7.78     |5.97     |     ~   |5.2      |     ~   |F8V              | 224|   0
1033|HD 26018   |HD 26018                           |PM*|04 15 13.7170029432 +76 17 16.842356700|     ~   |     ~   |     ~   |7.6      |     ~   |G5               |  47|   0
1034|HD 26054   |HD 26054                           |*  |04 06 58.9295493912 -15 59 21.301346184|     ~   |8.26     |7.82     |     ~   |     ~   |F5.5II           |  21|   0
1035|HD 26151   |HD 26151                           |PM*|04 07 20.7228981816 -27 25 32.379388428|     ~   |9.34     |8.50     |     ~   |     ~   |K1V              |  68|   0
1036|HD 26200   |HD 26200                           |*  |04 10 21.2710946592 +39 13 32.621291688|7.390    |7.410    |7.020    |     ~   |     ~   |F0               |  39|   0
1037|HD 26205   |HD 26205                           |PM*|04 07 01.7788632192 -41 40 13.027055340|     ~   |9.809    |9.327    |     ~   |     ~   |K0/1(III)+(F)    |  17|   0
1038|HD 26244   |HD 26244                           |*  |04 07 06.1885912632 -44 56 44.151896760|     ~   |8.88     |8.37     |     ~   |     ~   |F8IV             |  30|   0
1039|HD 26246   |HD 26246                           |PM*|04 06 51.2274683448 -49 37 42.598379532|     ~   |7.24     |6.86     |     ~   |     ~   |F3IV/V           |  23|   0
1040|HD 26257   |HD 26257                           |PM*|04 09 09.0703529424 +00 10 44.301985788|     ~   |8.17     |7.63     |     ~   |     ~   |G2V              |  54|   0
1041|HD 26279   |HD 26279                           |*  |04 08 49.9439258736 -17 56 42.847614276|     ~   |8.46     |8.08     |     ~   |     ~   |F2V              |  28|   0
1042|HD 26292   |HD 26292                           |PM*|04 09 43.0070191008 +03 19 21.715289400|     ~   |6.91     |6.48     |     ~   |     ~   |F3IV             |  34|   0
1043|HD 26345   |HD 26345                           |PM*|04 10 42.3629157312 +18 25 23.714993208|     ~   |7.005    |6.576    |6.329    |6.095    |F6V              | 155|   0
1044|HD 26370   |HD 26370                           |*  |04 12 37.8431869056 +51 10 06.157686396|8.640    |8.690    |8.290    |     ~   |     ~   |F2               |  22|   0
1045|HD 26417   |HD 26417                           |*  |04 10 01.4494258104 -18 42 40.047389568|     ~   |8.69     |8.20     |     ~   |     ~   |F3/5V            |  24|   0
1046|HD 26419   |HD 26419                           |SB*|04 07 22.1675996376 -59 43 49.516774788|     ~   |9.03     |8.53     |     ~   |     ~   |F5IV             |  23|   0
1047|HD 26421   |HD 26421                           |PM*|04 12 22.9400055912 +37 42 43.534839240|     ~   |     ~   |     ~   |7.8      |     ~   |G0               |  46|   0
1048|HD 26430   |HD 26430                           |PM*|04 08 06.7680868416 -53 46 45.372860364|     ~   |10.670   |9.931    |     ~   |     ~   |K2/3(V)          |  46|   0
1049|HD 26519   |HD 26519                           |PM*|04 10 41.3151871608 -25 25 33.371664420|     ~   |8.29     |7.86     |     ~   |     ~   |F5V              |  31|   0
1050|HD 26657   |HD 26657                           |PM*|04 11 59.6206243776 -27 33 05.598687744|     ~   |9.97     |9.30     |     ~   |     ~   |G6V              |  25|   0
1051|HD 26665   |HD 26665                           |PM*|04 11 03.0884182104 -46 56 29.024853540|     ~   |7.87     |7.36     |     ~   |     ~   |F6V              |  24|   0
1052|HD 26720   |HD 26720                           |PM*|04 14 20.9472362016 +19 34 46.775581464|8.720    |8.680    |8.180    |     ~   |     ~   |F8               |  21|   0
1053|HD 26729   |HD 26729                           |PM*|04 12 23.7050149152 -31 34 51.962690460|     ~   |8.18     |7.44     |     ~   |     ~   |G5IV             |  48|   0
1054|HD 26736   |HD 26736                           |BY*|04 14 32.3145372576 +23 34 29.798635044|     ~   |8.711    |8.047    |7.691    |7.356    |G5V              | 227|   0
1055|HD 26749   |HD 26749                           |PM*|04 14 18.2919031281 +12 20 53.148262433|     ~   |     ~   |     ~   |7.89     |     ~   |G2V              |  48|   0
1056|HD 26754   |HD 26754                           |PM*|04 10 07.4037838248 -61 35 56.205666852|     ~   |7.69     |7.15     |     ~   |     ~   |F7/8V            |  37|   0
1057|HD 26756   |HD 26756                           |PM*|04 14 25.6501896480 +14 37 30.115628868|     ~   |9.125    |8.419    |8.039    |7.682    |G2               | 214|   0
1058|HD 26767   |V* V1309 Tau                       |BY*|04 14 27.2546195976 +12 26 07.133100324|     ~   |8.682    |8.030    |7.673    |7.341    |G0               | 177|   0
1059|HD 26769   |HD 26769                           |SB*|04 13 02.3915445720 -26 26 05.600342544|     ~   |9.06     |8.50     |     ~   |     ~   |F7V              |  23|   0
1060|HD 26784   |HD 26784                           |PM*|04 14 34.3409896608 +10 42 04.993916796|     ~   |7.606    |7.080    |6.791    |6.511    |F8V              | 202|   0
1061|HD 26822   |HD 26822                           |*  |04 11 56.3387370192 -52 25 26.131695132|     ~   |8.80     |8.28     |     ~   |     ~   |F6V              |  27|   0
1062|HD 26980   |HD 26980                           |Er*|04 14 22.5713382072 -38 19 01.574486904|     ~   |9.76     |9.069    |     ~   |8.397    |G3V              |  54|   0
1063|HD 27023   |HD 27023                           |PM*|04 18 41.5577441976 +49 32 00.574616652|     ~   |8.16     |7.76     |     ~   |     ~   |F2               |  18|   0
1064|HD 27063   |HD 27063                           |PM*|04 16 30.2412812112 -00 34 22.092673404|     ~   |8.71     |8.07     |     ~   |     ~   |G3V              |  92|   0
1065|HD 27110   |HD 27110                           |*  |04 17 27.4754492808 +16 35 26.351475792|     ~   |8.84     |8.35     |     ~   |     ~   |F5               |  33|   0
1066|HD 27127   |HD 27127                           |PM*|04 18 19.8608087592 +33 50 50.454238272|     ~   |8.75     |8.24     |     ~   |     ~   |F8               |  25|   0
1067|HD 27157   |HD 27157                           |PM*|04 19 13.0902066744 +42 22 52.300229124|     ~   |7.432    |6.967    |     ~   |     ~   |F5               |  34|   0
1068|HD 27168   |HD 27168                           |PM*|04 16 13.3071671976 -30 51 55.554789852|     ~   |9.55     |8.89     |     ~   |     ~   |G3V              |  24|   0
1069|HD 27170   |HD 27170                           |PM*|04 16 01.9133050992 -35 15 57.149034948|     ~   |8.53     |8.04     |     ~   |     ~   |F5V              |  30|   0
1070|HD 27212   |HD 27212                           |*  |04 14 20.5086748584 -60 12 30.571826724|     ~   |9.16     |8.81     |     ~   |     ~   |F2V              |  26|   0
1071|HD 27231   |HD 27231                           |PM*|04 16 09.0833473920 -42 37 33.146078808|     ~   |8.69     |8.28     |     ~   |     ~   |F2V              |  27|   0
1072|HD 27250   |V* V893 Tau                        |BY*|04 18 57.9745736544 +19 54 24.124484232|     ~   |9.345    |8.597    |8.192    |7.829    |G9V              | 156|   0
1073|HD 27274   |HD 27274                           |PM*|04 15 56.9015416381 -53 18 35.306710266|9.843    |8.759    |7.634    |6.967    |6.412    |K4.5Vk:          |  88|   0
1074|HD 27282   |HD 27282                           |PM*|04 19 08.0079247152 +17 31 29.115479280|9.46     |9.157    |8.427    |8.034    |7.675    |G8V              | 197|   0
1075|HD 27291   |HD 27291                           |*  |04 21 21.5110662624 +53 42 02.995319268|     ~   |8.22     |7.86     |     ~   |     ~   |F5               |  38|   0
1076|HD 27305   |HD 27305                           |PM*|04 14 22.0261902816 -64 58 03.696709008|     ~   |8.51     |8.06     |     ~   |     ~   |F6wF3            |  35|   0
1077|HD 27328   |HD 27328                           |PM*|04 17 20.1978601944 -36 51 00.843275376|     ~   |9.82     |9.04     |     ~   |     ~   |G8/K0V           |  27|   0
1078|HD 27353   |HD 27353                           |PM*|04 18 06.4645525464 -24 03 36.306555768|     ~   |8.88     |8.39     |     ~   |     ~   |F5V              |  28|   0
1079|HD 27361   |HD 27361                           |*  |04 19 28.5615013392 +11 57 58.233555540|     ~   |8.08     |7.60     |     ~   |     ~   |F5               |  22|   0
1080|HD 27406   |HD 27406                           |BY*|04 20 12.9666179232 +19 14 00.518450172|     ~   |8.016    |7.444    |7.131    |6.826    |F9V+             | 202|   0
1081|HD 27415   |HD 27415                           |PM*|04 13 06.8463332784 -72 49 14.312897868|     ~   |7.91     |7.41     |     ~   |     ~   |F6IV/V           |  27|   0
1082|HD 27466   |HD 27466                           |PM*|04 19 57.0776578176 -04 26 19.541530932|     ~   |8.48     |7.82     |     ~   |     ~   |G5V              |  62|   0
1083|HD 27500   |HD 27500                           |PM*|04 19 47.9484640824 -18 31 10.442538912|     ~   |8.40     |7.97     |     ~   |     ~   |F5V              |  25|   0
1084|HD 27523   |HD 27523                           |*  |04 22 37.3835647848 +43 26 57.377659416|     ~   |8.25     |7.91     |     ~   |     ~   |F5               |  35|   0
1085|HD 27530   |HD 27530                           |PM*|04 19 34.2590648016 -28 47 10.540261392|     ~   |8.80     |8.16     |     ~   |     ~   |G2V              |  45|   0
1086|HD 27553   |HD 27553                           |PM*|04 18 15.3129676152 -52 54 08.305912656|     ~   |8.20     |7.75     |     ~   |     ~   |F5V              |  30|   0
1087|HD 27560   |HD 27560                           |*  |04 21 42.5281869768 +19 28 06.767159772|8.730    |8.780    |8.380    |     ~   |     ~   |G0               |  44|   0
1088|HD 27561   |HD 27561                           |PM*|04 21 34.7949333144 +14 24 35.240373612|     ~   |6.999    |6.578    |6.338    |6.099    |F5IV-V           | 237|   0
1089|HD 27631   |HD 27631                           |PM*|04 19 45.4692015480 -41 57 36.952683480|     ~   |8.914    |8.24     |8.38     |     ~   |G3IV/V           |  67|   1
1090|HD 27685   |HD 27685                           |SB*|04 22 44.7200401380 +16 47 27.158550607|8.730    |8.495    |7.821    |7.456    |7.104    |G2               | 163|   0
1091|HD 27731   |HD 27731                           |PM*|04 23 30.4004677416 +24 24 19.469650140|     ~   |7.625    |7.159    |6.905    |6.643    |F6V              | 121|   0
1092|HD 27732   |HD 27732                           |SB*|04 23 22.3298880648 +21 22 44.752609020|     ~   |9.628    |8.846    |     ~   |     ~   |G9V              | 155|   0
1093|HD 27757   |HD 27757                           |PM*|04 32 15.9580667544 +77 37 26.199907248|     ~   |     ~   |     ~   |7.4      |     ~   |G5               |  47|   0
1094|HD 27771   |HD 27771                           |PM*|04 23 32.3332833360 +14 40 13.721568600|     ~   |9.963    |9.097    |8.631    |8.222    |G5               | 189|   0
1095|HD 27808   |HD 27808                           |PM*|04 24 14.5737054432 +21 44 10.483946556|     ~   |7.646    |7.125    |6.830    |6.550    |F8V              | 210|   0
1096|HD 27809   |HD 27809                           |PM*|04 23 19.7548480272 -00 58 08.439008304|     ~   |8.83     |8.34     |     ~   |     ~   |F6V              |  24|   0
1097|HD 27835   |HD 27835                           |PM*|04 24 12.7838536080 +16 22 44.148778356|     ~   |8.808    |8.203    |7.870    |7.560    |G0V              | 124|   0
1098|HD 27845   |HD 27845                           |PM*|04 21 21.4919632896 -48 29 57.902239644|     ~   |9.80     |9.11     |     ~   |     ~   |G6V              |  25|   0
1099|HD 27848   |HD 27848                           |PM*|04 24 22.2732237168 +17 04 44.236606296|     ~   |7.405    |6.947    |6.698    |6.445    |F6V              | 171|   0
1100|HD 27850   |HD 27850                           |*  |04 23 37.7438002824 -04 07 15.635529732|     ~   |8.47     |8.16     |     ~   |     ~   |F0V              |  20|   0
1101|HD 27857   |HD 27857                           |PM*|04 26 26.1931714056 +52 30 17.184792312|     ~   |8.69     |8.05     |     ~   |     ~   |G5               |  36|   0
1102|HD 27859   |HD 27859                           |BY*|04 24 28.3269703416 +16 53 10.202918748|     ~   |8.382    |7.790    |     ~   |     ~   |G2V              | 231|   0
1103|HD 27887   |HD 27887                           |PM*|04 25 10.8248744928 +25 44 57.051355308|     ~   |8.29     |7.9      |     ~   |     ~   |F5               |  55|   0
1104|HD 27901   |HD 27901                           |PM*|04 24 57.1275623016 +19 02 31.232746428|     ~   |6.354    |5.965    |5.736    |5.506    |F4V              | 135|   0
1105|HD 27905   |HD 27905                           |PM*|04 23 20.1625364208 -25 23 41.997271740|     ~   |8.44     |7.81     |     ~   |     ~   |G3V              |  48|   0
1106|HD 27911   |HD 27911                           |PM*|04 24 26.6321184792 +02 29 26.947216824|     ~   |8.17     |7.76     |     ~   |     ~   |F0/2V            |  29|   0
1107|HD 27927   |HD 27927                           |*  |04 23 36.1680152520 -20 16 26.266289160|     ~   |8.55     |8.06     |     ~   |     ~   |F7V              |  24|   0
1108|HD 27939   |HD 27939                           |*  |04 23 28.8389781168 -27 39 28.458665100|     ~   |9.26     |8.58     |     ~   |     ~   |G3/5V            |  38|   0
1109|HD 27947   |HD 27947                           |*  |04 25 00.3248806872 +11 58 40.535463216|     ~   |9.05     |8.40     |     ~   |     ~   |G0               |  45|   0
1110|HD 27965   |HD 27965                           |PM*|04 23 42.8194247448 -28 46 00.993728784|     ~   |9.95     |9.16     |     ~   |     ~   |G8V              |  31|   0
1111|HD 27969   |HD 27969                           |PM*|04 26 49.4518475472 +42 54 34.146235908|     ~   |     ~   |     ~   |7.2      |     ~   |G5               |  45|   0
1112|HD 27990   |HD 27990                           |SB*|04 25 47.5862729819 +18 01 01.895505133|     ~   |9.928    |8.989    |8.469    |8.011    |K2V              | 107|   0
1113|HD 28013   |HD 28013                           |PM*|04 23 53.3430740179 -34 45 24.269975458|     ~   |9.09     |8.38     |     ~   |     ~   |G5V              |  40|   0
1114|HD 28066   |HD 28066                           |PM*|04 27 33.8271232056 +39 41 00.685335264|     ~   |9.02     |8.42     |     ~   |     ~   |F8               |  13|   0
1115|HD 28068   |V* V906 Tau                        |BY*|04 26 24.6221111736 +16 51 12.069956916|8.86     |8.69     |8.05     |7.51     |7.16     |G1V              | 224|   0
1116|HD 28073   |HD 28073                           |*  |04 25 41.6632815552 -04 43 38.768042280|     ~   |8.69     |8.22     |     ~   |     ~   |F3V              |  29|   0
1117|HD 28082   |HD 28082                           |PM*|04 28 10.8609625560 +48 06 00.642600036|     ~   |9.71     |8.96     |     ~   |     ~   |G5               |  13|   0
1118|HD 28097   |HD 28097                           |*  |04 28 54.3029441208 +55 00 01.723843548|     ~   |8.21     |7.66     |     ~   |     ~   |F8               |  37|   0
1119|HD 28099   |HD 28099                           |BY*|04 26 40.1217122952 +16 44 48.885808416|8.98     |8.78     |8.12     |7.56     |7.23     |G2+V             | 429|   0
1120|HD 28122   |HD 28122                           |*  |04 30 35.3121117456 +65 03 04.061173680|     ~   |8.07     |7.71     |     ~   |     ~   |F0               |  29|   0
1121|HD 28160   |HD 28160                           |PM*|04 26 01.1124329016 -13 16 48.942992460|     ~   |8.87     |8.37     |     ~   |     ~   |F6V              |  28|   0
1122|HD 28181   |HD 28181                           |Em*|04 26 38.8074823848 -03 46 03.212205600|     ~   |9.27     |8.84     |     ~   |     ~   |F5V              |  27|   0
1123|HD 28185   |HD 28185                           |PM*|04 26 26.3227063776 -10 33 02.947149108|     ~   |8.52     |7.81     |     ~   |     ~   |G6.5IV-V         | 192|   1
1124|HD 28187   |HD 28187                           |PM*|04 25 23.7666042816 -35 40 32.041462620|     ~   |8.41     |7.79     |     ~   |     ~   |G3IV/V           |  55|   0
1125|HD 28192   |HD 28192                           |PM*|04 26 48.8200303488 -01 43 28.671284064|     ~   |8.67     |8.07     |     ~   |     ~   |G0V              |  52|   0
1126|HD 28205   |V* V993 Tau                        |BY*|04 27 35.8912011816 +15 35 21.090336828|     ~   |7.949    |7.404    |7.102    |6.805    |F8V              | 242|   0
1127|HD 28218   |HD 28218                           |*  |04 27 22.2066322872 +07 03 44.950339296|     ~   |7.97     |7.56     |     ~   |     ~   |F5               |  26|   0
1128|HD 28237   |HD 28237                           |PM*|04 27 46.0745928288 +11 44 11.108386212|     ~   |8.066    |7.482    |     ~   |     ~   |F8               | 163|   0
1129|HD 28246   |HD 28246                           |PM*|04 25 19.1196593400 -44 09 39.222400680|     ~   |6.811    |6.383    |     ~   |     ~   |F5.5V            |  51|   0
1130|HD 28258   |HD 28258                           |PM*|04 28 04.4335121136 +13 52 04.578923028|     ~   |9.860    |9.032    |9.03     |     ~   |G5V              | 141|   0
1131|HD 28264   |HD 28264                           |PM*|04 26 53.2226310600 -18 39 22.156624584|     ~   |7.53     |7.00     |     ~   |     ~   |F7V              |  29|   0
1132|HD 28287   |HD 28287                           |PM*|04 26 38.6008803792 -28 57 07.267864788|     ~   |9.62     |8.77     |     ~   |7.92     |G9.5Vk:          |  41|   0
1133|HD 28291   |V* V918 Tau                        |BY*|04 28 37.2160468224 +19 44 26.481269436|     ~   |9.316    |8.580    |8.182    |7.816    |G5               | 148|   0
1134|HD 28343   |HD 28343                           |Er*|04 29 00.1238230176 +21 55 21.717292296|10.988   |9.688    |8.300    |7.446    |6.656    |M0.5V            | 206|   0
1135|HD 28344   |HD 28344                           |BY*|04 28 48.2984108040 +17 17 07.685984400|8.57     |8.456    |7.837    |7.498    |7.180    |G2V              | 288|   0
1136|HD 28395   |HD 28395                           |PM*|04 28 50.2425790920 +02 22 17.881564476|     ~   |8.43     |8.02     |     ~   |     ~   |F3V              |  31|   0
1137|HD 28401   |HD 28401                           |SB*|04 33 15.4433750400 +64 59 17.680134552|     ~   |7.96     |7.50     |     ~   |     ~   |F5               |  25|   0
1138|HD 28428   |HD 28428                           |*  |04 27 40.6481258304 -32 24 31.124030652|     ~   |7.53     |7.07     |     ~   |     ~   |F3IV             |  30|   0
1139|HD 28453   |HD 28453                           |*  |04 27 32.5751896680 -40 28 20.547232572|     ~   |7.72     |7.14     |     ~   |     ~   |F8/G0V           |  35|   0
1140|HD 28462   |HD 28462                           |PM*|04 29 57.7279752624 +16 40 22.226116800|     ~   |10.051   |9.069    |9.12     |     ~   |K1V              | 158|   0
1141|HD 28474   |HD 28474                           |PM*|04 30 59.0478283872 +35 35 59.390439720|     ~   |     ~   |     ~   |8.2      |     ~   |F5               |  33|   0
1142|HD 28483   |HD 28483                           |PM*|04 30 17.9809105560 +19 50 25.908318132|     ~   |7.583    |7.087    |     ~   |     ~   |F6V              | 166|   0
1143|HD 28576   |HD 28576                           |*  |04 11 55.3147565616 -83 36 06.669955656|     ~   |9.07     |8.47     |     ~   |     ~   |G0V              |  32|   0
1144|HD 28579   |HD 28579                           |PM*|04 33 16.0015295640 +55 27 43.655395248|     ~   |8.23     |7.73     |     ~   |     ~   |F8               |  31|   0
1145|HD 28580   |HD 28580                           |PM*|04 31 16.4742404880 +25 01 49.648469088|     ~   |9.35     |8.5      |     ~   |     ~   |G8V              |  32|   0
1146|HD 28593   |HD 28593                           |PM*|04 31 15.6941460480 +20 07 59.409279192|     ~   |9.327    |8.572    |8.169    |7.801    |G8V              | 142|   0
1147|HD 28608   |HD 28608                           |PM*|04 30 57.1716459048 +10 45 06.360444756|     ~   |7.491    |7.015    |6.741    |6.479    |F7V              | 137|   0
1148|HD 28610   |HD 28610                           |*  |04 30 15.3522256872 -11 33 38.391685524|     ~   |8.45     |8.04     |     ~   |     ~   |F2/3V            |  23|   0
1149|HD 28620   |HD 28620                           |*  |04 32 17.2522455696 +37 02 35.687135292|7.230    |7.270    |6.810    |     ~   |     ~   |F5               |  54|   0
1150|HD 28635   |HD 28635                           |SB*|04 31 29.3493834048 +13 54 12.334345092|     ~   |8.300    |7.746    |7.445    |7.147    |F9V              | 152|   0
1151|HD 28653   |HD 28653                           |PM*|04 30 28.2573447192 -13 15 58.881435516|     ~   |8.82     |7.97     |     ~   |     ~   |G8IV             |  12|   0
1152|HD 28676   |HD 28676                           |*  |04 32 07.9069406520 +21 37 56.484184296|     ~   |7.71     |7.08     |     ~   |     ~   |F5               |  66|   0
1153|HD 28698   |HD 28698                           |PM*|04 31 13.3600902792 -04 51 36.120626388|     ~   |8.28     |7.80     |12.3     |     ~   |K0III            |  25|   0
1154|HD 28701   |HD 28701                           |PM*|04 25 45.8486750616 -69 59 37.265127612|     ~   |8.48     |7.87     |     ~   |     ~   |G2V              |  88|   0
1155|HD 28772   |HD 28772                           |PM*|04 34 16.5897525624 +45 54 48.539645928|     ~   |7.90     |7.43     |     ~   |     ~   |F5               |  27|   0
1156|HD 28783   |V* V996 Tau                        |BY*|04 32 50.1196981848 +16 00 20.931733080|     ~   |9.85     |8.900    |9.02     |     ~   |K0V              | 116|   0
1157|HD 28789   |HD 28789                           |PM*|04 30 33.6453550344 -40 13 07.291528428|     ~   |10.42    |9.62     |     ~   |     ~   |K0V              |  27|   0
1158|HD 28798   |HD 28798                           |PM*|04 30 36.7418396496 -40 23 42.374245200|     ~   |8.86     |8.18     |     ~   |     ~   |G3/5IV           |  27|   0
1159|HD 28805   |V* V997 Tau                        |BY*|04 32 59.4512605248 +15 49 08.284758672|     ~   |9.396    |8.641    |8.235    |7.867    |G8V              | 173|   0
1160|HD 28807   |HD 28807                           |PM*|04 31 56.9877493632 -12 37 57.499600080|     ~   |7.62     |7.16     |     ~   |     ~   |F6V              |  48|   0
1161|HD 28821   |HD 28821                           |*  |04 32 21.4722509232 -05 02 20.418099324|     ~   |8.29     |7.61     |     ~   |     ~   |G3V              |  83|   0
1162|HD 28826   |HD 28826                           |PM*|04 29 50.0921025192 -52 59 06.892540260|     ~   |8.55     |8.09     |     ~   |     ~   |F3/5V            |  28|   0
1163|HD 28841   |HD 28841                           |*  |04 33 59.8965448632 +32 12 33.765963804|     ~   |9.49     |8.86     |     ~   |     ~   |G                |  11|   0
1164|HD 28842   |HD 28842                           |PM*|04 33 58.4248454040 +32 08 29.824737576|     ~   |9.08     |8.62     |     ~   |     ~   |F8               |  13|   0
1165|HD 28872   |HD 28872                           |PM*|04 31 06.0867268176 -41 43 33.192244128|     ~   |10.41    |9.67     |     ~   |     ~   |G8V              |  28|   0
1166|HD 28877   |HD 28877                           |PM*|04 36 00.5485703496 +55 30 43.505496108|     ~   |7.41     |6.91     |     ~   |     ~   |F8               |  29|   0
1167|HD 28878   |HD 28878                           |PM*|04 33 37.9670187024 +16 45 44.998350336|     ~   |10.254   |9.357    |8.874    |8.456    |G5               | 124|   0
1168|HD 28880   |HD 28880                           |PM*|04 33 09.8758600584 +04 58 12.487044828|     ~   |9.21     |8.73     |     ~   |     ~   |F6V              |  30|   0
1169|HD 28977   |HD 28977                           |PM*|04 34 32.1824860800 +15 49 39.204565644|     ~   |10.565   |9.644    |9.139    |8.702    |K0               | 121|   0
1170|HD 28981   |HD 28981                           |PM*|04 33 08.0502390696 -19 21 30.448906344|     ~   |8.54     |8.09     |     ~   |     ~   |F5V              |  27|   0
1171|HD 28992   |HD 28992                           |BY*|04 34 35.3100676992 +15 30 16.642906992|     ~   |8.530    |7.898    |7.556    |7.226    |G1V              | 216|   0
1172|HD 29021   |HD 29021                           |PM*|04 37 52.2221165040 +60 40 34.311454320|     ~   |8.45     |7.76     |     ~   |     ~   |G5               |  43|   0
